RM view,,,,,,,,
,,,,,,,,
,Prev Quarter Sales,Baseline Sales,Prev Quarter Goals,Current Quarter Sales,Calculated Goals,Adjusted Goals,Final Goals,% Growth over last quarter Goals
RM Total,7651,7866,7158,8092,7497,7551,7551,5%
DM1,2295,2505,2353,2150,2301,2011,2011,-15%
T1,270,302,339,190,388,401,401,18%
T2,385,379,347,275,165,237,237,-32%
T3,311,148,158,412,462,284,284,80%
T4,159,255,408,221,165,181,181,-56%
T5,255,444,202,274,151,132,132,-35%
T6,425,449,109,164,364,246,246,126%
T7,371,405,474,480,245,215,215,-55%
T8,119,123,316,134,361,315,315,0%
DM2,2569,2940,2324,3300,2865,3031,3031,30%
T9,172,444,389,426,347,494,494,27%
T10,468,148,374,498,307,334,334,-11%
T11,356,325,212,464,393,416,416,96%
T12,392,445,474,452,222,380,380,-20%
T13,368,478,176,357,265,399,399,127%
T14,349,482,165,272,499,404,404,145%
T15,249,407,328,350,338,113,113,-66%
T16,215,211,206,481,494,491,491,138%
DM3,2787,2421,2481,2642,2331,2509,2509,1%
T17,478,295,365,382,449,136,136,-63%
T18,120,481,216,412,268,376,376,74%
T19,407,192,179,316,377,323,323,80%
T20,149,359,469,237,342,177,177,-62%
T21,387,192,420,203,155,472,472,12%
T22,447,363,311,295,383,488,488,57%
T23,464,152,380,408,247,109,109,-71%
T24,335,387,141,389,110,428,428,204%
